ITEM_20150317_000001	Empty_helmet 	Empty_Helmet
ITEM_20150323_004243	Magic Circle Inscribed Leather 	Magic Circle Inscribed Leather 
ITEM_20150323_004244	Fragment from when you destroyed the altar. 	Potongan pecahan yang muncul ketika menghancurkan altar
ITEM_20150323_004245	Hunter Master's Detox Solvent	Hunter Master's Drug
ITEM_20150323_004246	Ridimed Leaf 	Ridimed Leaf 
ITEM_20150323_004247	An ingredient to make an antidote 	Sebuah bahan untuk penangkal
ITEM_20150323_004248	Mysterious Poison 	Unidentified Poison
ITEM_20150323_004249	Poison which came out of an unidentified dagger. 	Racun yang muncul dari Dagger yang tidak diketahui identitasnya
ITEM_20150323_004250	A scarecrow created by Louise 	sebuah scarecrow yang dibuat oleh Louse
ITEM_20150323_004251	Monster Suppression Device 	Magic Power Purification Device
ITEM_20150323_004252	Apparatus for suppressing plant growth. 	Perangkat yang memaksa pertumbuhan tanaman
ITEM_20150323_004253	Small Plant Control Device 	Small Plant Control Device
ITEM_20150323_004254	A plant control device given to you by Researcher Gareth.	Small Plant Control Device yang diterima dari Gares
ITEM_20150323_004255	Antidote Recipe	Antidote Recipes
ITEM_20150323_004256	An atidote recipe written by the Hunter Master.	Resep Antidote yang dituliskan Hunter Master
ITEM_20150323_004257	Black Ridimed Essence	Essence of Black Leadmed
ITEM_20150323_004258	Vermilion Sharkmolly Essence 	Essence of vermilion Sharkmolly
ITEM_20150323_004259	Free Dungeon test item 	Free Dungeon Test Item
ITEM_20150401_004260	Armband I 	Armband I
ITEM_20150401_004261	Old Gladius 	Old Gladius
ITEM_20150401_004262	Crude Falchion 	Crude Falchion
ITEM_20150401_004263	Crude Kaskara 	Crude Kaskara
ITEM_20150401_004264	Old Shamshir 	Old Shamshir
ITEM_20150401_004265	Old Scimitar 	Old Scimitar
ITEM_20150401_004266	Old Kaskara 	Old Kaskara
ITEM_20150401_004267	Superior Gladius 	Superior Gladius
ITEM_20150401_004268	Superior Falchion 	Superior Falchion
ITEM_20150401_004269	Superior Cinquedea 	Superior Cinquedea
ITEM_20150401_004270	Superior Sabre 	Superior Sabre
ITEM_20150401_004271	Superior Shamshir 	Superior Shamshir
ITEM_20150401_004272	Old Colossus 	Old Colossus
ITEM_20150401_004273	Superior Flamberge 	Superior Flamberge
ITEM_20150401_004274	Superior Nodachi 	Superior Nodachi
ITEM_20150401_004275	Superior Claymore 	Superior Claymore
ITEM_20150401_004276	Old Short Rod 	Old Short Rod
ITEM_20150401_004277	Crude Long Rod 	Crude Long Rod
ITEM_20150401_004278	Crude Cane Rover 	Crude Cane Rover
ITEM_20150401_004279	Old Puter Rod 	Old Puter Rod
ITEM_20150401_004280	Old Owl Rod 	Old Owl Rod
ITEM_20150401_004281	Old Cane Rover 	Old Cane Rover
ITEM_20150401_004282	Superior Short Rod 	Superior Short Rod
ITEM_20150401_004283	Superior Long Rod 	Superior Long Rod
ITEM_20150401_004284	Superior Cane 	Superior Cane
ITEM_20150401_004285	Superior Crook 	Superior Crook
ITEM_20150401_004286	Superior Puter Rod 	Superior Puter Rod
ITEM_20150401_004287	Old Light Bow 	Old Light Bow
ITEM_20150401_004288	Crude Short Bow 	Crude Short Bow
ITEM_20150401_004289	Crude Longbow 	Crude Longbow
ITEM_20150401_004290	Old Rokas Bow 	Old Rokas Bow
ITEM_20150401_004291	Old Gorithos 	Old Goritos
ITEM_20150401_004292	Old Long Bow 	Old Long Bow
ITEM_20150401_004293	Superior Light Bow 	Superior Light Bow
ITEM_20150401_004294	Superior Short Bow 	Superior Short Bow
ITEM_20150401_004295	Superior Composite Bow 	Superior Composite Bow
ITEM_20150401_004296	Superior Self Bow 	Superior Self Bow
ITEM_20150401_004297	Superior Rokas Bow 	Superior Self Bow
ITEM_20150401_004298	Crude Light Crossbow 	Crude Light Crossbow
ITEM_20150401_004299	Crude Crossbow 	Crude Crossow
ITEM_20150401_004300	Old Oak Crossbow 	Old Oak Crossbow
ITEM_20150401_004301	Old Seal Crossbow 	Old Seal Crossbow
ITEM_20150401_004302	Superior Light Crossbow 	Superior Light Crossbow
ITEM_20150401_004303	Superior Dokyu 	Superior Dokyu
ITEM_20150401_004304	Superior Quarrel Bow 	Superior Quarrel Bow
ITEM_20150401_004305	Superior Oak Crossbow 	Superior Oak Crossbow
ITEM_20150401_004306	Superior Crossbow 	Superior Crossbow
ITEM_20150401_004307	Old Wooden Club 	Old Wooden Club
ITEM_20150401_004308	Crude Mace 	Crude Mace
ITEM_20150401_004309	Old Goedendag 	Old Goedendag
ITEM_20150401_004310	Old Warpick 	Old Warpick
ITEM_20150401_004311	Old Mace 	Old Mace
ITEM_20150401_004312	Superior Wooden Club 	Superior Iron Clube
ITEM_20150401_004313	Superior Iron Club 	Superior Iron Club
ITEM_20150401_004314	Superior Morning Star 	Superior Morningstar
ITEM_20150401_004315	Superior Maul 	Superior Maul
ITEM_20150401_004316	Superior Goedendag 	Seperior  Goedendag
ITEM_20150401_004317	Battle Maul 	Battle Maul
ITEM_20150401_004318	Old Wooden Buckler 	Old Wooden Buckler
ITEM_20150401_004319	Old Wooden Kite shield 	Old Wooden Kite shield
ITEM_20150401_004320	Superior Kite Shield 	Superior Kite Shield
ITEM_20150401_004321	Superior Short Spear 	Superior Short Spear
ITEM_20150401_004322	Superior Espontoon 	Superior Espontoon
ITEM_20150401_004323	Crude Wooden Staff 	Crude Uden Staff
ITEM_20150401_004324	Crude Oak Staff 	Crude Oak Staff
ITEM_20150401_004325	Superior Wooden Staff 	Superior Wooden Staff
ITEM_20150401_004326	Superior Staff 	Superior Staff
ITEM_20150401_004327	Superior Ju Staff 	Superior Jus Staff
ITEM_20150401_004328	Superior Ubuko Staff 	Superior Uboko Staff
ITEM_20150401_004329	Superior Steel Staff 	Superior Steel Staff
ITEM_20150401_004330	Superior Square Staff 	Superior Square Staff
ITEM_20150401_004331	Revolver 	Revolver
ITEM_20150401_004332	Snaphance 	Snaphance
ITEM_20150401_004333	Long Pistol 	Long Pistol
ITEM_20150401_004334	Grima Gloves 	Grima Gloves
ITEM_20150401_004335	Unfinished tooltip. 	No tooltip.
ITEM_20150401_004336	Grima Boots 	Grima Boots
ITEM_20150401_004337	Forest Gloves 	Forest Gloves
ITEM_20150401_004338	Forest Boots 	Forest Boots
ITEM_20150401_004339	Superior Scale Gloves 	Superior Scale Gloves
ITEM_20150401_004340	Superior Scale Boots 	Superior Scale Boots
ITEM_20150401_004341	Superior Scale Leggings 	Superior Scale Leggings
ITEM_20150401_004342	Superior Scale Mail 	Superior Scale Mail
ITEM_20150401_004343	Regal Gloves 	Regal Gloves
ITEM_20150401_004344	Regal Boots 	Regal Boots
ITEM_20150401_004345	Old Hard Leather Gloves 	Old Hard Leather Gloves
ITEM_20150401_004346	Old Hard Leather Boots 	Old Hard Leather Boots
ITEM_20150401_004347	Old Hard Leather Pants 	Old Hard Leather Pants
ITEM_20150401_004348	Old Hard Leather Armor 	Old Hard Leather Armor
ITEM_20150401_004349	Old Chain Gloves 	Old Chain Gloves
ITEM_20150401_004350	Old Chain Boots 	Old Chain Boots
ITEM_20150401_004351	Old Chain Pants 	Old Chain Pants
ITEM_20150401_004352	Old Chainmail 	Old Chainmail
ITEM_20150401_004353	Old Steel Chain Gloves 	Old Steel Chain Gloves
ITEM_20150401_004354	Old Steel Chain Boots 	Old Steel Chain Boots
ITEM_20150401_004355	Old Steel Chain Pants 	Old Steel Chain Pants
ITEM_20150401_004356	Old Steel Chainmail 	Old Steel Chainmail
ITEM_20150401_004357	Superior Quilted Pants 	Superior Quilt Pants
ITEM_20150401_004358	Superior Quilted Armor 	Superior Quilt Armor
ITEM_20150401_004359	Superior Regal Gloves 	Superior Regal Gloves
ITEM_20150401_004360	Superior Regal Boots 	Superior Regal Boots
ITEM_20150401_004361	Superior Regal Pants 	Superior Regal Pants
ITEM_20150401_004362	Superior Regal Robe 	Superior Regal Robe
ITEM_20150401_004363	Superior Brigandine Gloves 	Superior Brigandine Gloves
ITEM_20150401_004364	Superior Brigandine Boots 	Superior Brigandine Boots
ITEM_20150401_004365	Superior Brigandine Pants 	Superior Brigandine Pants
ITEM_20150401_004366	Superior Brigandine Armor 	Superior Brigandine Armor
ITEM_20150401_004367	Full Plate Gauntlets 	Full Plate Gauntlets
ITEM_20150401_004368	Full Plate Greaves 	Full Plate Greaves
ITEM_20150401_004369	Full Plate Leggings 	Full Plate Leggings
ITEM_20150401_004370	Full Plate Armor 	Full Plate Armor
ITEM_20150401_004371	Fedimian Gloves 	Fedimian Gloves 
ITEM_20150401_004372	Fedimian Boots 	Femidian Boots 
ITEM_20150401_004373	Fedimian Pants 	Femidian Pants 
ITEM_20150401_004374	Fedimian Robe 	Fedimian Robe
ITEM_20150401_004375	Fedimian Leather Gloves 	Fedimian Leather Gloves
ITEM_20150401_004376	Fedimian Leather Boots 	Fedimian Leather Boots 
ITEM_20150401_004377	Fedimian Leather Pants 	Fedimian Leather Pants 
ITEM_20150401_004378	Fedimian Leather Armor 	Fedimian Leather Armor
ITEM_20150401_004379	Fedimian Gauntlets 	Fedimian Gauntlets
ITEM_20150401_004380	Fedimian Greaves 	Fedimian Greaves
ITEM_20150401_004381	Fedimian Leggings 	Fedimian Leggings
ITEM_20150401_004382	Fedimian Armor 	Fedimian Armor
ITEM_20150401_004383	Magician Gloves 	Magician Gloves
ITEM_20150401_004384	Magician Boots 	Magician Boots
ITEM_20150401_004385	Magician Pants 	Magician Pants
ITEM_20150401_004386	Magician Robe 	Magician Robe
ITEM_20150401_004387	Hunting Gloves 	Hunting Gloves
ITEM_20150401_004388	Hunting Boots 	Hunting Boots
ITEM_20150401_004389	Hunting Pants 	Hunting Pants
ITEM_20150401_004390	Hunting Armor 	Hunting Armor
ITEM_20150401_004391	Guard Gauntlets 	Guard Gauntlets
ITEM_20150401_004392	Guard Greaves 	Guard Greaves
ITEM_20150401_004393	Guard Leggings 	Guard Leggings
ITEM_20150401_004394	Guard Armor 	Guard Armor
ITEM_20150401_004395	Mage Gloves 	Mage Gloves
ITEM_20150401_004396	Mage Boots 	Mage Boots
ITEM_20150401_004397	Mage Pants 	Mage Pants
ITEM_20150401_004398	Mage Robe 	Mage Robe
ITEM_20150401_004399	Skirmisher Gloves 	Skirmisher Gloves
ITEM_20150401_004400	Skirmisher Boots 	Skirmisher Boots
ITEM_20150401_004401	Skirmisher Pants 	Skirmisher Pants
ITEM_20150401_004402	Skirmisher Tunic 	Skirmisher Tunic
ITEM_20150401_004403	Infantry Gauntlets 	Infantry Gauntlets
ITEM_20150401_004404	Infantry Greaves 	Infantry Greaves
ITEM_20150401_004405	Infantry Leggings 	Infantry Leggings
ITEM_20150401_004406	Infantry Armor 	Infantry Armor
ITEM_20150401_004407	Archmage Gloves 	Arch Mage Gloves
ITEM_20150401_004408	Archmage Boots 	Arch Mage Boots
ITEM_20150401_004409	Archmage Pants 	Arch Mage Pants
ITEM_20150401_004410	Archmage Robe 	Arch Mage Robe
ITEM_20150401_004411	Superior Skirmisher Gloves 	Superior Skirmisher Gloves
ITEM_20150401_004412	Superior Skirmisher Boots 	Superior Skirmisher Boots
ITEM_20150401_004413	Superior Skirmisher Pants 	Superior Skirmisher Pants
ITEM_20150401_004414	Superior Skirmisher Tunic 	Superior Skirmisher Tunic
ITEM_20150401_004415	Superior Infantry Gauntlets 	Superior Infantry Gauntlets
ITEM_20150401_004416	Superior Infantry Greaves 	Superior Infantry Greaves
ITEM_20150401_004417	Superior Infantry Leggings 	Superior Infantry Leggings
ITEM_20150401_004418	Superior Infantry Armor 	Superior Infantry Armor
ITEM_20150401_004419	Librarian Gloves 	Librarian Gloves
ITEM_20150401_004420	Librarian Boots 	Librarian Boots
ITEM_20150401_004421	Librarian Pants 	Librarian Pants
ITEM_20150401_004422	Librarian Robe 	Librarian Robe
ITEM_20150401_004423	Veteran Gloves 	Veteran Gloves
ITEM_20150401_004424	Veteran Boots 	Veteran Boots
ITEM_20150401_004425	Veteran Pants 	Veteran Pants
ITEM_20150401_004426	Veteran Tunic 	Veteran Tunic
ITEM_20150401_004427	Knight Gauntlets 	Knight Gauntlets
ITEM_20150401_004428	Knight Greaves 	Knight Tunic
ITEM_20150401_004429	Knight Leggings 	Knight Leggings
ITEM_20150401_004430	Knight Armor 	Knight Armor
ITEM_20150401_004431	Superior Grima Gloves 	Superior Grima Gloves
ITEM_20150401_004432	Superior Grima Boots 	Superior Grima Boots
ITEM_20150401_004433	Superior Grima Pants 	Superior Grima Pants
ITEM_20150401_004434	Superior Grima Robe  	Superior Grima Robe
ITEM_20150401_004435	Magnus Gloves 	Magnus Gloves
ITEM_20150401_004436	Magnus Boots 	Magnus Boots
ITEM_20150401_004437	Magnus Robe 	Magnus Robe
ITEM_20150401_004438	Superior Boots 	Superior Boots
ITEM_20150401_004439	Ronesa's Wooden Necklace 	Ronesa Wooden Necklace
ITEM_20150401_004440	Ronesa's Iron Necklace 	Ronesa Iron Necklace
ITEM_20150401_004441	Ronesa's Steel Necklace 	Ronesa Steel Necklace
ITEM_20150401_004442	Ronesa's Talisman 	Ronesa Talisman
ITEM_20150401_004443	Ronesa's Klaipeda Chain 	Ronesa Klaipeda Chain
ITEM_20150401_004444	Ritual Necklace 	Ritual Necklace
ITEM_20150401_004445	Superior Ritual Necklace 	Superior Ritual Necklace
ITEM_20150401_004446	Key Pendant 	Key Pendant
ITEM_20150401_004447	Superior Key Pendant 	Superior key Pendant
ITEM_20150401_004448	Sage's Necklace 	Sage Necklace
ITEM_20150401_004449	Light Ronesa's Bangle 	Ligh Ronesa Bangle
ITEM_20150401_004450	Superior Ronesa's Bangle 	Superior Ronesa Bangle
ITEM_20150401_004451	Ronesa's Ring Bracelet 	Ronesa Ring Bracelet
ITEM_20150401_004452	Ronesa's Noble Bracelet 	Ronesa Noble Bracelet
ITEM_20150401_004453	Superior Bangle of Health 	Superior Health Bangle
ITEM_20150401_004454	Superior Magical Bangle 	Superior Magic Bangle
ITEM_20150401_004455	Superior Bangle of Accuracy 	Superior Accuracy Bangle
ITEM_20150401_004456	Light Superior Bangle 	Light Superior Bangle
ITEM_20150401_004457	Ronesa's Klaipeda Bracelet 	Ronesa Klaipeda Bracelet
ITEM_20150401_004458	Superior Bangle 	Superior Bangle
ITEM_20150401_004459	Gem  Bracelet 	Gem  Bracelet
ITEM_20150401_004460	Pearl Bracelet 	Pearl Bracelet
ITEM_20150401_004461	Superior Pearl Bracelet 	Superior Pearl Bracelet
ITEM_20150401_004462	Superior Rune Bracelet 	Superior Rune Bracelet
ITEM_20150401_004463	Star Bracelet 	Star Bracelet
ITEM_20150401_004464	Cataphract Costume 	Cataphract Costume
ITEM_20150401_004465	GM Costume 	GM Costume
ITEM_20150401_004466	Necklace of the Five Sins Collection 	Necklace Collection of sin 5
ITEM_20150401_004467	A collection of five necklaces. Each necklace is inscribed with one of the five topics of a pilgrim's path. Made by Maven, the founder of the Great Cathedral. You can add it through the Magic Association NPC's Collection window with right-click. 	Mengoleksi 5 kalung yang bertuliskan map dari pilgrim's path untuk Mayburn, pencipta dari  Cathedral 
ITEM_20150401_004468	Old Kepa Shell 	Old Kepa Shell
ITEM_20150401_004469	Ridimed Stem 	Ridimed Stem
ITEM_20150401_004470	Meduja Tentacle 	Meduja Tentacle
ITEM_20150401_004471	Bite Stinger 	Bite Stinger
ITEM_20150401_004472	Griba Stem 	Griba Stem
ITEM_20150401_004473	Meleech Shell 	Meleech Shell
ITEM_20150401_004474	Slick Sap 	Tsurikaki Stem
ITEM_20150401_004475	Treegool Stem 	Treegul Stem
ITEM_20150401_004476	Cronewt Bones	Cronewt Bones
ITEM_20150401_004477	Hoglan Beak 	Hoglan Beak
ITEM_20150401_004478	Ducky Leather 	Ducky Leathe
ITEM_20150401_004479	Kepa Wing	Kepa Wings
ITEM_20150401_004480	Kepo Skin 	Kepo Skin
ITEM_20150401_004481	Kepo Fluff	Kepo Downy Hair
ITEM_20150401_004482	Rondo Shell 	Rondo Shell
ITEM_20150401_004483	Kodomor Thorn 	Kodomor Thorn
ITEM_20150401_004484	Lomor Leaf 	Lomor Leaf
ITEM_20150401_004485	Red Plate 	Red Plate
ITEM_20150401_004486	Moya Fragment  	Moya Fragment 
ITEM_20150401_004487	Colifly Stamen 	Colifly Stamen
ITEM_20150401_004488	Loftlem Debris 	Loftlem Debris
ITEM_20150401_004489	Infro Blood Stem 	Infro Blood Stem
ITEM_20150401_004490	Chupaluka Fur 	Chupaluka Hair
ITEM_20150401_004491	Pilgrim Dallas' Corpse 	Pilgrim Dalas Corpse
ITEM_20150401_004492	Faded Starlight crystal 	Crystal of faded starlight
ITEM_20150401_004493	A crystal that shines with starlight. What it reveals is a mystery. 	Crystal yang berkilap seperti chaya bintang. Masih sebuah misteri yang dapat mengindikasikan sesuatu
ITEM_20150401_004494	Star Stone Crystal 	Crystal of Star Stone
ITEM_20150401_004495	A small piece of Star Stone. Reacts with other pieces of Star Stone. 	Pecahan kecil dari star stone, akan berinteraksi dengan pecahan Star stone lainnya.
ITEM_20150401_004496	Medeina's Necromantic Bead 	Creed crystal of Medayna
ITEM_20150401_004497	Beads used by Kupole Medeina when interrogating demons. 	Kelereng yang dipakai Kupole Medayna ketika menginvestigasi Demon.
ITEM_20150401_004498	Explosives 	Explosives 
ITEM_20150401_004499	Dungeon Item 	Dungeon Item
ITEM_20150401_004500	A explosive used by workers during the construction of the Fortress of the Land. Highly flammable. 	Sebuah ledakan digunakan ketika pekerja membuat benteng di tanah. Hal ini dapat dengan mudah terbakar dengan api.
ITEM_20150401_004501	Flask of the King's Voice 	King's Voice Elixir
ITEM_20150401_004502	It is rumored that the king's voice can be heard from the barracks of the Royal Mausoleum Guard. 	Rumornya bahwa suara raja dapat didengar dari barracks Royal Mausoleum Guard.
ITEM_20150401_004503	Hastily Prepared Bread 	Hastily Prepared Bread 
ITEM_20150401_004504	A warm loaf of Snack bread received from Marus. 	Sebuah roti baru diberi dari Marus
ITEM_20150401_004505	Rotten Bread 	Rotten bread
ITEM_20150401_004506	Rotten Snack Bread 	Rotten snake bread
ITEM_20150401_004507	Fresh Bread 	Freshly bread
ITEM_20150401_004508	A loaf of snack bread that is still fresh. 	Sebuah roti ular yang masih terjaga kesegarannya
ITEM_20150401_004509	Magic doll that Rimas gave to Arunas. It removes unusual energies when burned in a magic circle. 	Boneka Shamm yang Rimas berikan kepada Aunas. Dikatakan semangat aneh ini hilang ketika mengubur pada penghalang sihir.
ITEM_20150401_004510	Wooden Stick 	Wooden Log
ITEM_20150401_004511	Wood sticks cut from nearby fences. Expected to be made into Wood Poles. 	Batang kayu yang dipotong dari pagar di sekitar. Dimaksudkan untuk membuat Wooden Stick.
ITEM_20150401_004512	Monster Leather 	Monster Leather
ITEM_20150401_004513	Leather obtained from monsters. It is used as a material to various weapons. 	Kulit yang didapat dari monster. Dipakai sebagai bahan berbagai senjata.
ITEM_20150401_004514	Uprooted Niole	Leiole hewn up
ITEM_20150401_004515	A perfectly uprooted Niole. The roots and leaves are used as food and medicine. Getting rid of the bitterness is key. 	Niole yang dicabut keseluruhan sampai ke akar. Akar dan daunnya dipakai sebagai obat dan makanan. Merupakan keharusan untuk menghilangkan rasa pahitnya.
ITEM_20150401_004516	Orange Dandel Wing Piece 	Orange Danderu's Wings piece★
ITEM_20150401_004517	Orange Dandel Wing piece. Since it's not particularly useful as firewood, let us keep the fire put. 	Potongan sayap dari Orange Danderu. Karena tidak ada fungsi jelasnya, mari gunakan untuk menjaga agar api tetap menyala.
ITEM_20150401_004518	Magic Control Crystal Fragment 	Piece of magic control crystal
ITEM_20150401_004519	It can surpress magic when set up in areas where there is strong magic. 	Ini memiliki efek untuk mengendalikan sihir jika akan dipasang ditempat dengan mantra yang kuat
ITEM_20150401_004520	Red Crystal 	Red Crystal
ITEM_20150401_004521	A crystal that guides the user to mystical places.	Sebuah kristal yang memandu ke tempat misteri
ITEM_20150406_004522	Superior Mallet 	Superior Maemnit
ITEM_20150406_004523	Sprinkler 	Sprinkler
ITEM_20150406_004524	Vuvuzela 	Vuvuzela
ITEM_20150406_004525	Snow Flower Spray 	Snow Spray
ITEM_20150406_004526	Metal Detector 	Metal detector
ITEM_20150406_004527	Dumbbell 	Dembbell
ITEM_20150406_004528	Bubble Wrap 	Bubble Wrap
ITEM_20150406_004529	Air Purification Crystal 	Air Purification Crystal
ITEM_20150406_004530	Crystal gained by processing a Crystal Fragment. {nl}It can be used to clear the gas of 2nd Mine Lot. 	Kristal keuntungan dengan olahan potongan kristal. Ini memiliki efek untuk membersihkan gas district 2
ITEM_20150406_004531	Growth Enhancement Crystal 	Growth Enhancement Crystal
ITEM_20150406_004532	Crystal gained by processing a Crystal Fragment. {nl}It can be used to speed growth. 	Kristal keuntungan dengan olahan potongan kristal. Hal ini dapat membuat lebih cepat tumbuh
ITEM_20150406_004533	Fortune Crystal 	Lucky Crystal
ITEM_20150406_004534	Crystal gained by processing a Crystal Fragment. {nl}It can be used to find more money. 	Kristal keuntungan dengan olahan potongan kristal. Hal ini dapat membuat lebih banyak uang
ITEM_20150406_004535	Life Crystal 	Life Crystal
ITEM_20150406_004536	Crystal gained by processing a Crystal Fragment. {nl}It can be used to restore HP. 	Kristal keuntungan dengan olahan potongan kristal. Hal ini dapat memulihkan HP
ITEM_20150406_004537	Composure Crystal 	Composure Crystal
ITEM_20150406_004538	Crystal gained by processing a Crystal Fragment. {nl}It can be used to restore MP. 	Kristal keuntungan dengan olahan potongan kristal. Hal ini dapat memulihkan MP
ITEM_20150406_004539	Swiftness Crystal 	Speed Crystal
ITEM_20150406_004540	Crystal gained by processing a Crystal Fragment. {nl}It can be used to increase your movement speed. 	Kristal keuntungan dengan olahan potongan kristal. Hal ini dapat membuat gerakan yang lebih tinggi
ITEM_20150406_004541	Ground Crystal Powder 	Grind Crystal Powder
ITEM_20150406_004542	Powder gained by grinding a Crystal Fragment. {nl}It can be used to detect hidden monsters in 2nd Mine Lot. 	Kristal keuntungan dengan menggiling potongan kristal. Hal ini dapat mendeteksi rakasa tersembunyi dari district 2
ITEM_20150406_004543	Red Resonance Crystal 	Red Resonance Crystal
ITEM_20150406_004544	Crystal gained by processing a Crystal Fragment. {nl}It can be used to resonate with the special crystal of 2nd Mine Lot's 2nd Gallery. 	Kristal keuntungan dengan olahan potongan kristal. Hal ini dapat membuat beresonansi kristal khusus lantai dua pada distrik 2
ITEM_20150406_004545	Blue Resonance Crystal 	Blue Resonance Crystal
ITEM_20150406_004546	Yellow Resonance Crystal 	Yellow Resonance Crystal
ITEM_20150406_004547	Dispeller 	Dispeller
ITEM_20150406_004548	Anti-Magic 	Anti Magic
ITEM_20150406_004549	Barbed Arrow 	Barbed Arrow
ITEM_20150406_004550	There are barbed. Adds an on-hit effect. 	Ada duri. Efek tertentu akan terjadi
ITEM_20150406_004551	Crystal Fragment 	Piece of Crystal
ITEM_20150406_004552	A crystal fragment that can be obtained from Lot 2 in the Crystal Mine. It is possible to obtain a special crystal when collecting a large amount of these.	Sepotong kristal dapat diperoleh dari lantai dua tambang kristal
ITEM_20150406_004553	Divine Machine Arrow 	Divine Machine Arrow
ITEM_20150406_004554	An arrow with an explosive payload. 	Panah yang berisi torpedo bangalore
ITEM_20150406_004555	Magic Arrow 	Magic Arrow
ITEM_20150406_004556	These arrows contain magical powers. 	Panah ini mengandung kekuatan magic
ITEM_20150406_004557	An experimental bomb created by the Sapper Master.{nl}The throw distance can be controlled by holding down the key. 	An experimental Bomb created by the Sapper Master.{nl}The throw distance can be managed by holding down the key.
ITEM_20150406_004558	Sharp Canine 	Sharp Canine
ITEM_20150406_004559	An orb that can destroy demonic enchantments. You can gather energy by using it around Austeja's Altar. 	Beed dapat menghancurkan gerbang iblis. Dengan menggunakan sekitar Austeja altar dapat mengumpulkan energi
ITEM_20150406_004560	Hauberk's Mark	Symbol of Hauberk
ITEM_20150406_004561	It's a mark of proof from Hauberk that he handed out to his men. 	Tanda yang membagi para pengikut dari Demon Lord Hauberk.
ITEM_20150406_004562	Nuaele's Fragment	Fragment of Noirelle
ITEM_20150406_004563	Fragment of Nuaele that was used to dominate demons monsters. 	Potongan diri sendiri yang dipakai untuk mengontrol para monster demon oleh Nuaele.
ITEM_20150406_004564	Expedition Memento	Keepsake of adventures
ITEM_20150406_004565	Expedition Memento of the ones who were brutally murdered by the demons. 	Memento milik para anggota ekspedisi yang dibunuh tanpa ampun oleh para Demon karena memasuki Demon Prison. 
ITEM_20150406_004566	Opaque Purification Liquid 	Refined water
ITEM_20150406_004567	A bottle given to you by Wizard Rimas, who claims it contains the purified strength of monsters. 	Botol berisi semangat halus rakasa dari WiAku Rimas
ITEM_20150406_004568	Sticky Sap 	Sticky Sap
ITEM_20150406_004569	Sack of Grain 	Grain Bag
ITEM_20150406_004570	Grain pouch retrieved from monsters. Some of it has been eaten. 	Grain Bag diambil dari rakasa. Kelihatannya jumlahnya kurang dari sebelumnya
ITEM_20150406_004571	Wooden Rod 	Wooden Rod
ITEM_20150406_004572	Wooden Rod cut from nearby fences. There are plans to make it into a weapon. 	Wooden Rod dipotong dari pagar di sekitar sini. Hal ini rencana untuk membuat senjata
ITEM_20150406_004573	Soft Leather	Light Leather
ITEM_20150406_004574	Pot that can collect the poison of monsters. 	Pot untuk dapat mengumpulkan racun dari monster.
ITEM_20150406_004575	A plow for ploughing fields. It has a keen blade. 	Bajak yang membuat ladang. Memiliki pisau yang sangat tajam
ITEM_20150406_004576	A spade for clearing weeds. It has a sharp point. 	Cangkul yang membersihkan gulma. Memiliki pisau yang tajam
ITEM_20150406_004577	Farm equipment for making furrows. It has a sharp point. 	Pertanian pertanian yang membuat alur-alur. Memiliki pisau yang tajam
ITEM_20150406_004578	Farm equipment for removing stones. It is well made. 	Pertanian pertanian yang menghilangkan batu. Memiliki pisau yang tajam
ITEM_20150406_004579	Farm equipment for separating fields. It has a lot of sharp points. 	Well dried beef jerky.
ITEM_20150406_004580	Fresh Meat 	Fresh Meat
ITEM_20150406_004581	Magic Stone of Blessing 	Magic stone of blessing
ITEM_20150406_004582	Orange Dandel Wingpiece	Wing of orange Dandel
ITEM_20150406_004583	Wing of an Orange Dandel. Seems flammable. 	Wing of orange Dandel. Ini tampaknya sangat membakar
ITEM_20150406_004584	Varkis' Research Materials (1) 	Research material of Varkis (1)
ITEM_20150406_004585	Varkis' Research Material 	Research material of Varkis
ITEM_20150406_004586	Varkis' Research Materials (2) 	Research material of Varkis (2)
ITEM_20150406_004587	Varkis' Research Materials (3) 	Research material of Varkis (3)
ITEM_20150406_004588	Varkis' Research Materials (4) 	Research material of Varkis (4)
ITEM_20150406_004589	Lizardman Toenail 	Lizardman Toenail
ITEM_20150406_004590	Sharp claws of the Lizardmen. Elly needs them. 	Cakar tajam dari Lizardmen. Elly membutuhkannya.
ITEM_20150406_004591	Tama Body Fluid	Tama Body Fluids
ITEM_20150406_004592	Tama Body Fluids. Used in the purification rituals of the Druids. 	Cairan tubuh yang keluar dari organ tubuh muda Tama. Dipakai pada upacara purifikasi Druid.
ITEM_20150406_004593	A small chest found with the sapling. It doesn't seem to be locked. 	Box kecil yang ditemukan bersama Seedling. Sepertinya tidak terkunci.
ITEM_20150406_004594	Tama Leaf 	Tama's Leaves
ITEM_20150406_004595	Old Leaves stuck on top of the Shell of Tama. They seem to be intertwined with the shell. 	Daun tua yang menempel pada kulit atas dari Tama. Terlihat terintegrasi dengan kulit telur.
ITEM_20150406_004596	Young Grapevine Root 	Root of young vine
ITEM_20150406_004597	Young Grapevine Roots dug under the grape vines. 	Akar dari anggur muda yang digali dari bawah tanaman Anggur.
ITEM_20150406_004598	Stumpy Tree Horn Fragment	Horn's piece of Short tree
